skill
System Architecture
Scalability
Distributed Systems
Fault Tolerance
Resilient Systems
Software Development
Application Programming Interfaces
Back End Engineering
Scalable Systems
Fault-Tolerant Systems
APIs
Inventory and Pricing
Product Information
Customer Data
Communications
Partner Data
Booking Systems
Payments
CI/CD
Testing Techniques
Self-Healing Systems
Scala
C#
Kafka
Spark
Agile Development
Full Stack
Back End
Codebase
Object-Oriented Programming
Functional Programming
Web APIs
REST APIs
Data Management
Inventory Management
Pricing Strategies
Product Data
Product Catalog
Customer Information
User Data
Messaging Systems
Relational Databases
Non-Relational Databases
MS SQL
Cassandra
Hadoop
Git
TeamCity
Puppet
Continuous Integration
Deployment
Computer Science
System Scaling
Data Requirements
English Communication
Software Engineering
Backend Engineering
Server-Side Engineering
Communication Protocols
Third-Party Data
Vendor Data
Reservation Systems
Scheduling Systems
Payment Processing
Financial Transactions
Continuous Integration/Continuous Deployment
Continuous Delivery
Software Testing
Test Automation
Automated Remediation
Auto-Recovery
Programming Language
C Sharp
Message Queue
Apache Kafka
Data Processing Framework
Apache Spark
Software Development Methodology
Agile Software Development
Front End
Full-Stack Development
Backend
Source Code
Code Repository
Programming Paradigm
OOP
FP
Database Management System
SQL Databases
NoSQL Databases
Microsoft SQL Server
Apache Cassandra
Apache Hadoop
Version Control System
GitHub
GitLab
Continuous Integration Tool
Configuration Management Tool
Software Development Practice
CI
Software Deployment
CS
System Design
Horizontal Scaling
Vertical Scaling
Data Modeling
Data Architecture
Verbal Communication
Written Communication
Software Engineer
Java
Spring Boot
API
Banking System Enhancement
IT
Production Issues
Technology Modernization
Migration Projects
OpenShift
Oracle
SQL
PostgreSQL
Microservices
CI/CD Pipelines
Jenkins
Unit Test
Banking
Financial Services
DevOps
SWE
Java Framework
Software Architecture
Application Programming Interface
Financial Services Application Development
Information Technology
IT Operations
Modernize Application
Cloud Platform
Containerization
Relational Database Management System
Oracle Database
Database Query Language
Structured Query Language
Postgres
Continuous Integration/Continuous Deployment Pipelines
CI/CD Tool
Unit Testing
Finance
Software Integrations
Contract Software Developer
Software Solutions
Technical Designs
Troubleshooting
Debugging
Code Reviews
Coding Standards
Emerging Technologies
Python
JavaScript
Databases
Version Control Systems
JS
Infrastructure Platform Development
Agoda Services
Kubernetes Clusters
Virtualization
Multi-tenant Compute Platforms
Software-defined Networking
Software-defined Storage
Kubernetes Operators
Bare Metal Provisioning
OpenStack Private Clouds
OpenTelemetry
Scalable Solutions
Reliable Solutions
Automated Solutions
Infrastructure Platform
Infrastructure Management System
OpenStack
Ceph
Kubernetes
Infrastructure System Management
Modern Technologies
Platform Infrastructure
Scaling
Reliability
Automation
Performance Issues
Performance Tuning
Optimization
Programming
Go
Docker
Linux Command Line
Bash Scripting
CI/CD Systems
GitHub Actions
Configuration as Code
YAML
Bash
Hardware Management APIs
Redfish
ILO
DRAC
Physical Architecture
Highly Available Systems
Fault-tolerant Systems
Linux command line
Configuration as code
CI/CD systems
Physical architecture
Bare metal provisioning
SDN
SDS
Hardware management APIs
Infrastructure management system
K8s
Golang
Continuous Integration/Continuous Delivery Systems
Continuous Integration/Continuous Delivery Pipelines
CAC
Integrated Lights-Out
Dell Remote Access Controller
HA Systems
Software QA Engineer
Contract
Digital Asset Trading Platform
Test Strategies
Automation Frameworks
Quality Standards
Test Planning
Test Execution
QA Technologies
Risk Assessments
Test Cases
Functional Testing
Integration Testing
Performance Testing
Test Execution Efficiency
Automation Coverage
Defect Analysis
Software Defects
Security Vulnerabilities
Testing Methodologies
Automation Reliability
Bug Detection Accuracy
Production Environment
Software Testing Lifecycle
Automation Development
Defect Management
Playwright
TypeScript
UI Testing
API Testing
K6
Load Tests
Stress Tests
Endurance Tests
System Performance
Software Testing Methodologies
Regression Testing
Exploratory Testing
Analytical Skills
Debugging Skills
Bug Reports
Event-Driven Architectures
Message Queues
RabbitMQ
Database Validation
Data Type Consistency
Data Migrations
Schema Evolution
MongoDB
DevOps Workflows
Continuous Testing
AI-Assisted Test Case Generation
Prompt Engineering
Test Automation Scripts
Fintech
Trading Operations
Trading Strategies
Auto-DCA
Rebalance
Agile Development Frameworks
Domain-Driven Design
Quality Assurance Engineer
QA Engineer
Contractual
Temporary
Cryptocurrency Exchange
Digital Currency Marketplace
Testing Approaches
Test Methodologies
Test Automation Frameworks
Quality Assurance Standards
Test Plan Creation
Test Design
Test Runs
Execution
Quality Assurance Technologies
Testing Tools
Risk Analysis
Vulnerability Assessment
Test Scenarios
Root Cause Analysis
Bugs
Errors
Security Flaws
Exploitable Weaknesses
Live Environment
STLC
Test Automation Engineering
Bug Tracking
Issue Tracking
User Interface Testing
Application Programming Interface Testing
Soak Tests
Testing Types
Defect Reports
Issue Reports
Artificial Intelligence Assisted Test Case Generation
Automated Test Scripts
Financial Technology
Automated Dollar Cost Averaging
Agile Methodologies
DDD
Full Stack Developer
Depository Systems
Registrar Systems
.Net
Angular
React
Scrum
Automate Testing
Acceptance Test
Cypress
Dockers
.NET Framework
AngularJS
Angular 2+
ReactJS
React.js
Agile
Automated Testing
Acceptance Testing
Software Developer
Agile Methodology
MVC
Client-Server Architecture
Java Spring Boot
Java Spring framework
Sybase database
AWS
Helm
Financial Markets
Brokerage Operations
Digital Customer Onboarding
HTML
CSS
REST
Web API
Web Services
JSON
Apache
Tomcat
Mockito
Communication Skills
English
JavaScript Framework
Architectural Pattern
Model-View-Controller
Client-Server
Relational Database
Cloud Computing
Amazon Web Services
Package Manager
Container Orchestration
Financial Operations
Customer Onboarding
Markup Language
HyperText Markup Language
Style Sheet Language
Cascading Style Sheets
Scripting Language
JavaScript Superset
Architectural Style
Representational State Transfer
Web Application Programming Interface
Data Format
JavaScript Object Notation
Web Server
Apache HTTP Server
Servlet Container
Apache Tomcat
Testing Framework
Java Testing Framework
Soft Skill
Language
Senior Software Engineer
Backend Development
Frontend Development
FinTech
e-Money Wallet
e-Commerce
Technical Design
Software Application
Code Development
Component Test Execution
Product Features
Workflow
Product Owner
Project Manager
Scrum Master
Designer
Backend Service
Server Configuration
Database
API Design
Web Application
Client/Server Application
RESTful API
Spring Framework
MySQL
Database Management
Caching
Redis
SCRUM
NoSQL
Mobile Application Development
iOS
Android
Huawei
Responsive Web Design
Webpack
Redux
Vue.js
Node.js
HTML5
Asynchronous Programming
Event Driven Architecture
Testing
Programming Framework
NoSQL Database
Caching Technology
Containerization Technology
System Administration
Agile Framework
Project Management
Mobile Operating System
Operating System
Mobile Technology
JavaScript Module Bundler
JavaScript Library
JavaScript Tooling
JavaScript Runtime Environment
Software Configuration Management
Business Process
Product Management
Frontend
Electronic Commerce
Software Applications
Workflows
Product Owners
Project Managers
Designers
Server Config
CICD
Web Applications
Client/Server Applications
Restful APIs
Spring
Troubleshoot
Not only SQL
Responsive Web Page Development
VueJS
NodeJS
HyperText Markup Language version 5
Event Driven Technique
RDBMS
DBMS
VCS
SCM
Full Stack Development
Financial Product
System Analysis
GO Development
Trading Business
Structure Note
Single Block Trade
Problem Solving
Teamwork
Technical Task Specification
Coding
Application Programs
Production Support
System Stability
Full Stack Dev
Business Analysis
Golang Development
Trading
Software
Digital Banking
Digital Transformation
Waterfall
Software Development Methodologies
Quality Assurance
Software Test Automation Frameworks
Continuous Deployment
Usability Testing
Availability Testing
JIRA
Test Management Tools
Espresso
XCUITest
Robot Framework
TestNG
Cucumber
Selenium WebDriver
System Integration Test
User Acceptance Test
DX
QA
CD
SIT
UAT
Frontend Engineering
JavaScript Frameworks
Next.js
Mobile Development
React Native
Flutter
State Management
MobX
Zustand
Web Development
UI/UX Design
UI
Prototyping
Figma
RESTful APIs
Cross-Platform Development
Version Control
SEO
Cross-Browser Compatibility
CSS3
Mobile applications
Web applications
Software application
State management
JSX
RxJS
Server-side rendering
Dart
UX/UI principles
Frontend Design
User Interface
REST API
Automated testing
CI/CD pipelines
Responsive web applications
Search Engine Optimization
Cascading Style Sheets version 3
Mobile apps
Web apps
Full Stack Software Engineer
NestJS
CI/CD Pipeline
Web Performance Optimization
Security Principles
Learning Management System (LMS)
Content Management System (CMS)
Applications
Web Apps
Node
HTTP
Representational State Transfer API
Query Language
Software Development Process
Continuous Integration/Continuous Deployment Pipeline
Kotlin
DevSecOps
Openshift
Technical Document
Internship
Software Dev
Full-Stack Engineer
Front-end Development
Client-Side Development
Back-end Development
Server-Side Development
Development Security and Operations
OpenShift Container Platform
Technical Documentation
Intern
Software Development Life Cycle
Object-Oriented Design
Java Developer
IT Industry
Banking Business
Javascript
AJAX
JQuery
Eclipse
Netbean
JBuilder
Hibernate
Struts
J2SE
J2EE
Servlet
JSP
JBOSS
Websphere
UML
DB2
PL/SQL
Linux
Unix
Windows
SDLC
OOD
Asynchronous JavaScript and XML
Javascript Library
Integrated Development Environment
NetBeans
Object-Relational Mapping (ORM)
Application Framework
MVC Framework
Java Platform
Java 2 Standard Edition
Java SE
Java 2 Enterprise Edition
Java EE
Java API
Java Servlet
Java Server Pages
Application Server
JBoss Application Server
IBM WebSphere Application Server
Modeling Language
Unified Modeling Language
IBM DB2
SQL Extension
Procedural Language/SQL
Microsoft Windows
Software Quality
Integration
Incident Investigation
Application Designer
Estimation
Reusable Tools
Reusable Code
Industry Best Practices
Software Development Team Management
Technical Lead
Web Service
SOAP
XML
Spring Cloud
Simple Object Access Protocol
Extensible Markup Language
Project Management Officer (PMO)
Program Management
Technology
Healthcare Systems
Project Scope Definition
Deliverables Management
Change Management
Risk Management
Project Planning
Project Scheduling
Budget Management
Contract Management
Team Management
Stakeholder Communication
Customer Relationship Management
Resource Allocation
Training
HIS (Hospital Information System) Implementation
Maintenance Agreement (MA)
Project Lifecycle
Business Objectives Alignment
Project Methodologies
Requirements Management
Communication
Collaboration
Project Mgmt
PMO
Scope Management
Financial Management
CRM
Full Stack Engineer
Nest.JS
React.JS
Github Actions
k6
OpenSearch
OpenEHR
FHIR
Database Design
Integration Test
E2E Test
Performance Test
Security Test
Gateway Middleware
Mentorship
Code Review
Product Quality
Security
Performance
Cache Database
Search Engine
Observability
Data Standards
TS
Fast Healthcare Interoperability Resources
End-to-End Test
Domain Name System (DNS)
Domain Name
IP Address
Name space
DNS Configurations
Name Resolution Process
Name Servers
DNS Zone
DNS Record Types
DNS message format
Reverse Resolution
CN310 Server Configuration
Host table
bind9
UDP
Setting DNS
Install Bind9
DNS
Domain Name System
DNS introduction
Naming Scheme
case-insensitive
Domain Name Space
Domain Name Concept
label
absolute domain name
relative domain name
Domain
IP address
named.conf
named.conf.options
named.conf.local
named.conf.default-zones
netplan
UFW
resolver
in-addr.arpa
Type of Name Servers
Primary Name server
Secondary Name server
Root Name Server
Authoritative Name Server
Name server
naming authority
DNS administration
Zones
Address Mapping record (A Record)
DNS host record
IPv4 address
IP Version 6 Address record (AAAA Record)
IPv6 address
Canonical Name record (CNAME Record)
Mail exchanger record (MX Record)
SMTP email server
Name Server records (NS Record)
Reverse-lookup Pointer records (PTR Record)
identification
flags
query
response
truncated
recursive
iterative
standard query
inverse query
server status request
return code
query class
Internet Address
resource data
non-authoritative
reverse DNS lookup
DNS resolver
apache2
name mapping
hostname
HOST.TXT
traffic
Systems Monitoring
Prometheus
PromQL
Time Series Data
Data Model
Metric Name
Key/Value Pairs
Pull Model
Pushing Time Series
Service Discovery
File_SD
Static Configuration
Alerting
Alertmanager
PagerDuty
Graphing
Dashboarding
Grafana
Installation
apt
prometheus-node-exporter
ufw
Prometheus Configuration File
scrape_interval
evaluation_interval
external_labels
alertmanagers
static_configs
scrape_configs
Targets
Runtime & Build Information
Command-Line Flags
Configuration
Rules
Add Nodes
Target Node
Server Node
Elasticsearch
InfluxDB
OpenTSDB
AWS Cloudwatch
Snap
containerised
Secure
Scalable
snap command
install Grafana
Antivirus
ClamAV
clamscan
timesyncd
Time Server
NTP
CN310 Monitoring
Prometheus server
Pushgateway
systems monitoring
Prometheus Server
Scrape Configs
file_sd
Visualization
Add nodes
target node
server node
snap install grafana
time server
Linux Directory Structure
Root Filesystem
Binaries
User Binaries
Admin Binaries
Libraries
Configuration Files
Variable Content
Log Files
Lock Files
Run-time Data
Spool Directory
Temporary Files
Process Directory
Hardware Devices
Block Devices
Terminal Devices
Network Devices
Boot Files
User Home Directories
Kernel
Virtual Filesystem
Mounted Filesystems
Drive Letters
Partitions
Mount Point
Storage Media
Links
Symbolic Link
Hard Link
File Management Commands
Web document root
Proxy cache
bin
sbin
usr
etc
sysconfig
init.d
xinetd.d
cron
var
log
Log
lock
Lock
run
ftp
mail
spool
tmp
proc
dev
cdrom
sd
hd
pts
tty
net
boot
kernel image
initrd image
GRUB boot loader
home
root
sysadm
kernel
VIRTUAL FILESYSTEM
UNIFIED FILESYSTEM
mounted
mountpoint
drive letters
partitions
mount point
floppy
usb
link
ln command
symbolic link
hard link
inode number
ls command
rm command
Unix/Linux System Administration
User Account Management
Shell Navigation and File System
File Manipulation
File Content Display
Command Line Utilities
Text Processing
